player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
bzqlvakg,bzqpnook,99.75025,jrmzndrj,99.0313,oqrwvjbq,98.00672
bzqpnook,jrmzndrj,99.0313,oqrwvjbq,98.00672,azbaqqml,97.03991
bzqpqkql,bqwywgmy,112.68259,dpqmvmno,99.05196,rrzjymmn,97.24126
bzqrklwq,zgpnppvo,185.31502,oqjzrbnv,179.46258,nrwvvngb,102.43498
ddwjgmgoo,vnyzdaqo,198.74664,wqrbjvkp,194.4796,qznkrybo,185.76652
ddwjkwonv,bqwywgmy,225.36518,vnygznmg,96.20601,vnaplbvk,93.9061
ddwlaawdg,vnygzgbg,100.01704,dvaqlpbg,98.58307,pjokwvqy,98.07582
ddwlajwlb,yvyjbprvw,88.56112,oadnyykpb,85.07713,yvyjbwjaw,83.68326
ddwlaqwzb,pjowzngv,97.77668,oqrpdglq,96.22194,dvjlporz,95.36951
ddwrbozdj,jrqbmrzv,97.77633,lropkqgj,94.55164,pjoobywz,93.45665
ddwrzqknz,kpyrwobz,99.67354,nnppdald,98.38905,dvlrdkbm,98.3139
ddwrzqvmk,azjoqmpa,97.33906,oqvvljjn,96.96695,zgyddrwd,96.55164
ddwrzwmaj,nrwvvngb,102.43498,prwmorwl,99.49614,dpqmvmno,99.05196
dlkkbbwz,bbnpmqam,94.90149,qznmkkjb,94.39641,dvjjpzkd,92.53521
dlkkbmlv,pjnmgdak,93.83013,kpzowkno,92.88772,zgpnpypz,88.35215
dlkkbppo,rbvzmlov,194,jbvgmplv,189.31502,jlyybbny,153.69172
dlkkrgwy,pjowzngv,97.77668,dvayvlwd,97.17679,azbaqqml,97.03991
dpdgjdjz,nrbkylnj,187.53542,dpdgmzmo,187.22214,pjowzngv,97.77668
dpdgjlnv,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
dpdgmzmo,nrbkylnj,468.83855,wvpjmvyn,287.82996,zqmkbrvy,284.52348
dpkzbyzg,nrjqygay,103.06457,aoavzopr,101.95451,bzmgrldz,101.72745
dpqmnwqz,zgvldojv,195.12364,vnyzdaqo,99.37332,bbvmwqln,99.24759
dpqmoonl,vnygznmg,192.41202,wbynwpam,104.9241,zqzjoqgo,99.65415
dpqmvmno,avdmpmmaq,181.35108,mqyvbwwwa,167.90296,bqwywgmy,112.68259
dpqrzdyy,mmgwbyqz,180.54248,wvvnmrng,100.43349,vnyzdaqo,99.37332
dpqrzvyr,dpqmvmno,99.05196,wvbkpqkp,96.52275,ojwnypgz,95.59416
dpydjnpb,vpbnqynq,99.88259,zgpppalp,95.06781,dpyrvbdn,93.48853
dpyrrjrw,vpgoddzj,99.37711,zqljdvmp,99.26816,dvaqlpbg,98.58307
dpyrvbdn,dpydjnpb,102.41002,vpbnqynq,99.88259,prkqrbvp,97.15023
dpzbgmvl,bbvmwqln,99.24759,rbvzzgva,98.33363,oqrwvjbq,98.00672
dvaablny,zgvldojv,97.56182,azllkwak,96.69601,vnygznmg,96.20601
dvaqbvkv,kpnmqjmj,286.20423,vnygzgbg,100.01704,wqrbjgjq,98.33333
dvaqgkym,zgyddrwd,96.55164,jbolowyl,92.57512,ygzzkbwq,92.27039
dvaqjqbv,zgvldojv,390.24728,azbaqqml,388.15964,vnygznmg,288.61803
dvaqlpbg,vnygzgbg,200.03408,bbvmwqln,198.49518,azbaqqml,194.07982
dvaqvkqq,pjowmvgl,182.76772,pjowzngv,97.77668,rbvzqjvw,97.62412
dvayndgy,ygnwjdvo,248.03808,zgvldojv,195.12364,ojwmllva,194.1722
dvayvlwd,azbaqqml,291.11973,pjokyyla,290.83005,pjowzngv,195.55336
dvaywlkm,azbaqqml,194.07982,mmgwbyqz,180.54248,qrkrdgyz,179.4635
dvaywwaj,qzbywwrl,97.56816,bbvmwnjz,97.15459,pjokyyla,96.94335
dvbgnzzb,pjokygzp,95.17319,kpnmddpy,93.96792,gnbaorzn,92.26009
dvjjaald,pwykgqbg,108.08349,jmqmodky,107.67136,kmljappy,107.41651
dvjjaddg,nrbkylnj,187.53542,dpdgmzmo,187.22214,zgpwqgja,98.12363
dvjjknlj,mlzvarvq,193.1383,zgvldojv,97.56182,dvlzbono,93.20058
dvjjmwqk,bzqpnook,99.75025,jrmzndrj,99.0313,oqrwvjbq,98.00672
dvjjpryl,mlnoawjw,94.76761,dvjjaddg,92.62242,zgqjravo,92.10172
dvjjpzkd,dvjlporz,190.73902,vwddkdzo,155.91182,qzprldwa,96.3588
dvjjrvqn,qzprldwa,96.3588,dvjlporz,95.36951,dvprvqor,92.86726
